onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
b,ao,modal,-4,male,G1,p<f,-3,0,1617,719740
b,ao,modal,-6,male,G1,p<f,-5,0,2348,719740
b,ao,modal,-7,male,G1,p<f,-6,0,1721,719740
b,ao,creaky,0,male,G4,p>f,1,0,2380,719740
d,ao,modal,3,male,G2,p>f,4,1,2788,719740
d,ao,modal,4,male,G2,p>f,5,1,2891,719740
d,ao,creaky,-3,male,G3,p<f,-2,0,1682,719740
d,ao,creaky,4,male,G4,p>f,5,1,2133,719740
f,a,modal,-5,male,G1,p<f,-4,0,2190,719740
f,a,modal,0,male,G2,p>f,1,0,3324,719740
f,a,modal,2,male,G2,p>f,3,1,9792,719740
f,a,creaky,-5,male,G3,p<f,-4,0,2312,719740
sh,a,creaky,-6,male,G3,p<f,-5,0,1865,719740
sh,a,creaky,-7,male,G3,p<f,-6,0,2251,719740
sh,a,creaky,2,male,G4,p>f,3,1,1885,719740
sh,a,creaky,5,male,G4,p>f,6,1,1926,719740
z,ao,modal,-2,male,G1,p<f,-1,0,1542,719740
z,ao,creaky,-4,male,G3,p<f,-3,0,1721,719740
z,ao,creaky,1,male,G4,p>f,2,0,1643,719740
z,ao,creaky,3,male,G4,p>f,4,0,2311,719740
zh,ao,modal,-3,male,G1,p<f,-2,0,1621,719740
zh,ao,modal,1,male,G2,p>f,2,0,2278,719740
zh,ao,modal,5,male,G2,p>f,6,1,1805,719740
zh,ao,creaky,-2,male,G3,p<f,-1,0,2153,719740
b,ao,modal,10,female,G2,p>f,1,0,1703,719740
b,ao,modal,14,female,G2,p>f,5,1,2600,719740
b,ao,modal,5,female,G1,p<f,-4,0,2103,719740
b,ao,creaky,15,female,G4,p>f,6,1,1921,719740
d,ao,modal,3,female,G1,p<f,-6,0,2206,719740
d,ao,modal,7,female,G1,p<f,-2,0,1347,719740
d,ao,creaky,3,female,G3,p<f,-6,0,2173,719740
d,ao,creaky,8,female,G3,p<f,-1,0,1264,719740
f,a,modal,11,female,G2,p>f,2,1,10429,719740
f,a,creaky,14,female,G4,p>f,5,1,1587,719740
f,a,creaky,4,female,G3,p<f,-5,0,1363,719740
f,a,creaky,7,female,G3,p<f,-2,0,1632,719740
sh,a,modal,6,female,G1,p<f,-3,0,1686,719740
sh,a,modal,8,female,G1,p<f,-1,0,4152,719740
sh,a,creaky,10,female,G4,p>f,1,0,1980,719740
sh,a,creaky,11,female,G4,p>f,2,0,6273,719740
z,ao,modal,12,female,G2,p>f,3,1,2573,719740
z,ao,modal,15,female,G2,p>f,6,1,2390,719740
z,ao,modal,4,female,G1,p<f,-5,0,2197,719740
z,ao,creaky,13,female,G4,p>f,4,1,3244,719740
zh,ao,modal,13,female,G2,p>f,4,1,2127,719740
zh,ao,creaky,12,female,G4,p>f,3,0,2029,719740
zh,ao,creaky,5,female,G3,p<f,-4,0,1477,719740
zh,ao,creaky,6,female,G3,p<f,-3,0,6215,719740
b,ao,modal,0,male,G2,p>f,1,0,1578,719740
b,ao,creaky,-5,male,G3,p<f,-4,0,2252,719740
b,ao,creaky,-6,male,G3,p<f,-5,0,1871,719740
b,ao,creaky,4,male,G4,p>f,5,1,2484,719740
d,ao,modal,-2,male,G1,p<f,-1,0,1371,719740
d,ao,creaky,-2,male,G3,p<f,-1,0,1920,719740
d,ao,creaky,-4,male,G3,p<f,-3,0,2070,719740
d,ao,creaky,5,male,G4,p>f,6,1,2327,719740
f,a,modal,-6,male,G1,p<f,-5,0,2318,719740
f,a,creaky,-7,male,G3,p<f,-6,0,2322,719740
f,a,creaky,0,male,G4,p>f,1,0,1623,719740
f,a,creaky,1,male,G4,p>f,2,0,3446,719740
sh,a,modal,1,male,G2,p>f,2,0,2575,719740
sh,a,modal,2,male,G2,p>f,3,1,3098,719740
sh,a,modal,5,male,G2,p>f,6,1,1543,719740
sh,a,creaky,3,male,G4,p>f,4,1,1961,719740
z,ao,modal,-3,male,G1,p<f,-2,0,2484,719740
z,ao,modal,-4,male,G1,p<f,-3,0,2166,719740
z,ao,modal,3,male,G2,p>f,4,1,2038,719740
z,ao,modal,4,male,G2,p>f,5,1,3087,719740
zh,ao,modal,-5,male,G1,p<f,-4,0,1948,719740
zh,ao,modal,-7,male,G1,p<f,-6,0,3153,719740
zh,ao,creaky,-3,male,G3,p<f,-2,0,1950,719740
zh,ao,creaky,2,male,G4,p>f,3,1,2891,719740
b,ao,modal,4,female,G1,p<f,-5,0,1926,719740
b,ao,modal,6,female,G1,p<f,-3,0,1956,719740
b,ao,creaky,11,female,G4,p>f,2,0,2076,719740
b,ao,creaky,3,female,G3,p<f,-6,0,2745,719740
d,ao,modal,10,female,G2,p>f,1,0,1888,719740
d,ao,modal,12,female,G2,p>f,3,1,2864,719740
d,ao,creaky,13,female,G4,p>f,4,0,1262,719740
d,ao,creaky,4,female,G3,p<f,-5,0,1712,719740
f,a,modal,3,female,G1,p<f,-6,0,1866,719740
f,a,modal,5,female,G1,p<f,-4,0,1757,719740
f,a,modal,8,female,G1,p<f,-1,0,2390,719740
f,a,creaky,8,female,G3,p<f,-1,0,3107,719740
sh,a,modal,13,female,G2,p>f,4,1,2237,719740
sh,a,modal,7,female,G1,p<f,-2,0,2243,719740
sh,a,creaky,14,female,G4,p>f,5,1,1934,719740
sh,a,creaky,15,female,G4,p>f,6,1,1849,719740
z,ao,creaky,10,female,G4,p>f,1,0,3083,719740
z,ao,creaky,12,female,G4,p>f,3,0,2392,719740
z,ao,creaky,5,female,G3,p<f,-4,0,1730,719740
z,ao,creaky,6,female,G3,p<f,-3,0,1479,719740
zh,ao,modal,11,female,G2,p>f,2,0,7023,719740
zh,ao,modal,14,female,G2,p>f,5,1,1744,719740
zh,ao,modal,15,female,G2,p>f,6,1,1989,719740
zh,ao,creaky,7,female,G3,p<f,-2,0,2048,719740
b,ao,modal,2,male,G2,p>f,3,1,1788,719740
b,ao,modal,3,male,G2,p>f,4,1,2867,719740
b,ao,creaky,-7,male,G3,p<f,-6,0,1537,719740
b,ao,creaky,2,male,G4,p>f,3,0,3431,719740
d,ao,modal,-5,male,G1,p<f,-4,0,1885,719740
d,ao,creaky,-5,male,G3,p<f,-4,0,1762,719740
d,ao,creaky,1,male,G4,p>f,2,0,2593,719740
d,ao,creaky,3,male,G4,p>f,4,1,2077,719740
f,a,modal,-3,male,G1,p<f,-2,0,1607,719740
f,a,modal,-7,male,G1,p<f,-6,0,2605,719740
f,a,modal,1,male,G2,p>f,2,0,2119,719740
f,a,creaky,-4,male,G3,p<f,-3,0,1625,719740
sh,a,modal,-4,male,G1,p<f,-3,0,1690,719740
sh,a,modal,0,male,G2,p>f,1,0,1944,719740
sh,a,creaky,-2,male,G3,p<f,-1,0,2014,719740
sh,a,creaky,-3,male,G3,p<f,-2,0,1510,719740
z,ao,modal,-6,male,G1,p<f,-5,0,1798,719740
z,ao,modal,5,male,G2,p>f,6,1,1527,719740
z,ao,creaky,0,male,G4,p>f,1,0,1803,719740
z,ao,creaky,4,male,G4,p>f,5,1,2019,719740
zh,ao,modal,-2,male,G1,p<f,-1,0,2289,719740
zh,ao,modal,4,male,G2,p>f,5,1,1626,719740
zh,ao,creaky,-6,male,G3,p<f,-5,0,2707,719740
zh,ao,creaky,5,male,G4,p>f,6,1,2207,719740
b,ao,modal,7,female,G1,p<f,-2,0,1688,719762
b,ao,creaky,14,female,G4,p>f,5,0,2051,719762
b,ao,creaky,4,female,G3,p<f,-5,0,1355,719762
b,ao,creaky,8,female,G3,p<f,-1,0,1481,719762
d,ao,modal,11,female,G2,p>f,2,0,5230,719762
d,ao,modal,15,female,G2,p>f,6,1,2410,719762
d,ao,modal,5,female,G1,p<f,-4,1,3664,719762
d,ao,creaky,12,female,G4,p>f,3,1,2379,719762
f,a,modal,13,female,G2,p>f,4,1,2086,719762
f,a,modal,4,female,G1,p<f,-5,0,3343,719762
f,a,creaky,13,female,G4,p>f,4,1,3393,719762
f,a,creaky,15,female,G4,p>f,6,1,1728,719762
sh,a,modal,14,female,G2,p>f,5,1,1363,719762
sh,a,modal,3,female,G1,p<f,-6,0,1731,719762
sh,a,creaky,5,female,G3,p<f,-4,0,1578,719762
sh,a,creaky,6,female,G3,p<f,-3,0,1481,719762
z,ao,modal,10,female,G2,p>f,1,0,1487,719762
z,ao,modal,6,female,G1,p<f,-3,0,1539,719762
z,ao,creaky,11,female,G4,p>f,2,0,1360,719762
z,ao,creaky,7,female,G3,p<f,-2,0,1494,719762
zh,ao,modal,12,female,G2,p>f,3,0,4318,719762
zh,ao,modal,8,female,G1,p<f,-1,0,1455,719762
zh,ao,creaky,10,female,G4,p>f,1,0,2052,719762
zh,ao,creaky,3,female,G3,p<f,-6,0,1215,719762
b,ao,modal,-2,male,G1,p<f,-1,0,1723,719762
b,ao,modal,-5,male,G1,p<f,-4,0,1173,719762
b,ao,modal,1,male,G2,p>f,2,0,6395,719762
b,ao,modal,5,male,G2,p>f,6,1,1517,719762
d,ao,modal,-4,male,G1,p<f,-3,0,2443,719762
d,ao,modal,0,male,G2,p>f,1,0,2843,719762
d,ao,creaky,-6,male,G3,p<f,-5,0,1243,719762
d,ao,creaky,0,male,G4,p>f,1,0,1777,719762
f,a,modal,3,male,G2,p>f,4,1,2319,719762
f,a,modal,4,male,G2,p>f,5,1,1386,719762
f,a,creaky,-2,male,G3,p<f,-1,0,1193,719762
f,a,creaky,2,male,G4,p>f,3,1,3193,719762
sh,a,modal,-3,male,G1,p<f,-2,0,1268,719762
sh,a,modal,-7,male,G1,p<f,-6,0,2493,719762
sh,a,creaky,1,male,G4,p>f,2,0,2929,719762
sh,a,creaky,4,male,G4,p>f,5,1,2806,719762
z,ao,modal,2,male,G2,p>f,3,1,3590,719762
z,ao,creaky,-3,male,G3,p<f,-2,0,1063,719762
z,ao,creaky,-5,male,G3,p<f,-4,0,1758,719762
z,ao,creaky,5,male,G4,p>f,6,0,1447,719762
zh,ao,modal,-6,male,G1,p<f,-5,0,1517,719762
zh,ao,creaky,-4,male,G3,p<f,-3,0,1329,719762
zh,ao,creaky,-7,male,G3,p<f,-6,0,1572,719762
zh,ao,creaky,3,male,G4,p>f,4,1,1577,719762
b,ao,modal,12,female,G2,p>f,3,0,11272,719762
b,ao,creaky,10,female,G4,p>f,1,0,5652,719762
b,ao,creaky,13,female,G4,p>f,4,0,7854,719762
b,ao,creaky,6,female,G3,p<f,-3,0,1093,719762
d,ao,modal,14,female,G2,p>f,5,1,2374,719762
d,ao,modal,8,female,G1,p<f,-1,0,1834,719762
d,ao,creaky,11,female,G4,p>f,2,0,4531,719762
d,ao,creaky,14,female,G4,p>f,5,0,10036,719762
f,a,modal,15,female,G2,p>f,6,1,1507,719762
f,a,modal,7,female,G1,p<f,-2,0,2352,719762
f,a,creaky,12,female,G4,p>f,3,0,2193,719762
f,a,creaky,5,female,G3,p<f,-4,0,1360,719762
sh,a,modal,11,female,G2,p>f,2,0,1878,719762
sh,a,modal,4,female,G1,p<f,-5,0,4465,719762
sh,a,creaky,3,female,G3,p<f,-6,0,1349,719762
sh,a,creaky,7,female,G3,p<f,-2,0,1451,719762
z,ao,modal,13,female,G2,p>f,4,1,1351,719762
z,ao,modal,5,female,G1,p<f,-4,0,2705,719762
z,ao,creaky,15,female,G4,p>f,6,0,3234,719762
z,ao,creaky,8,female,G3,p<f,-1,0,1018,719762
zh,ao,modal,10,female,G2,p>f,1,0,1750,719762
zh,ao,modal,3,female,G1,p<f,-6,0,1601,719762
zh,ao,modal,6,female,G1,p<f,-3,0,1596,719762
zh,ao,creaky,4,female,G3,p<f,-5,0,1675,719762
b,ao,modal,4,male,G2,p>f,5,1,1596,719762
b,ao,creaky,-3,male,G3,p<f,-2,0,1142,719762
b,ao,creaky,1,male,G4,p>f,2,0,1310,719762
b,ao,creaky,5,male,G4,p>f,6,0,1245,719762
d,ao,modal,-3,male,G1,p<f,-2,0,2298,719762
d,ao,modal,-6,male,G1,p<f,-5,0,2621,719762
d,ao,modal,-7,male,G1,p<f,-6,0,1474,719762
d,ao,creaky,2,male,G4,p>f,3,1,2250,719762
f,a,modal,-2,male,G1,p<f,-1,0,1602,719762
f,a,modal,5,male,G2,p>f,6,1,1502,719762
f,a,creaky,-6,male,G3,p<f,-5,0,2228,719762
f,a,creaky,3,male,G4,p>f,4,1,1829,719762
sh,a,modal,-5,male,G1,p<f,-4,0,1514,719762
sh,a,modal,3,male,G2,p>f,4,1,1453,719762
sh,a,creaky,-4,male,G3,p<f,-3,0,1360,719762
sh,a,creaky,0,male,G4,p>f,1,0,6614,719762
z,ao,modal,0,male,G2,p>f,1,0,1384,719762
z,ao,modal,1,male,G2,p>f,2,0,1376,719762
z,ao,creaky,-2,male,G3,p<f,-1,0,2448,719762
z,ao,creaky,-7,male,G3,p<f,-6,0,1365,719762
zh,ao,modal,-4,male,G1,p<f,-3,0,2211,719762
zh,ao,modal,2,male,G2,p>f,3,1,2366,719762
zh,ao,creaky,-5,male,G3,p<f,-4,0,1828,719762
zh,ao,creaky,4,male,G4,p>f,5,1,1615,719762
b,ao,modal,11,female,G2,p>f,2,0,1244,719762
b,ao,modal,13,female,G2,p>f,4,1,4511,719762
b,ao,modal,8,female,G1,p<f,-1,0,1510,719762
b,ao,creaky,7,female,G3,p<f,-2,0,1531,719762
d,ao,modal,4,female,G1,p<f,-5,0,2733,719762
d,ao,creaky,10,female,G4,p>f,1,0,2178,719762
d,ao,creaky,5,female,G3,p<f,-4,0,2436,719762
d,ao,creaky,6,female,G3,p<f,-3,0,1907,719762
f,a,modal,12,female,G2,p>f,3,1,7044,719762
f,a,modal,6,female,G1,p<f,-3,0,1875,719762
f,a,creaky,11,female,G4,p>f,2,1,1712,719762
f,a,creaky,3,female,G3,p<f,-6,0,2119,719762
sh,a,modal,10,female,G2,p>f,1,0,1761,719762
sh,a,modal,15,female,G2,p>f,6,1,1585,719762
sh,a,creaky,12,female,G4,p>f,3,1,1520,719762
sh,a,creaky,13,female,G4,p>f,4,1,1861,719762
z,ao,modal,14,female,G2,p>f,5,1,1919,719762
z,ao,modal,3,female,G1,p<f,-6,0,2064,719762
z,ao,creaky,14,female,G4,p>f,5,1,2429,719762
z,ao,creaky,4,female,G3,p<f,-5,0,1604,719762
zh,ao,modal,5,female,G1,p<f,-4,0,1688,719762
zh,ao,modal,7,female,G1,p<f,-2,0,1735,719762
zh,ao,creaky,15,female,G4,p>f,6,1,2739,719762
zh,ao,creaky,8,female,G3,p<f,-1,0,1894,719762
b,ao,modal,-3,male,G1,p<f,-2,0,1520,719762
b,ao,creaky,-2,male,G3,p<f,-1,0,1242,719762
b,ao,creaky,-4,male,G3,p<f,-3,0,1560,719762
b,ao,creaky,3,male,G4,p>f,4,1,2072,719762
d,ao,modal,1,male,G2,p>f,2,0,3628,719762
d,ao,modal,2,male,G2,p>f,3,1,2218,719762
d,ao,modal,5,male,G2,p>f,6,1,2303,719762
d,ao,creaky,-7,male,G3,p<f,-6,0,1428,719762
f,a,modal,-4,male,G1,p<f,-3,0,2147,719762
f,a,creaky,-3,male,G3,p<f,-2,0,1519,719762
f,a,creaky,4,male,G4,p>f,5,1,1769,719762
f,a,creaky,5,male,G4,p>f,6,1,1503,719762
sh,a,modal,-2,male,G1,p<f,-1,0,1763,719762
sh,a,modal,-6,male,G1,p<f,-5,0,1953,719762
sh,a,modal,4,male,G2,p>f,5,1,1952,719762
sh,a,creaky,-5,male,G3,p<f,-4,0,2277,719762
z,ao,modal,-5,male,G1,p<f,-4,0,1481,719762
z,ao,modal,-7,male,G1,p<f,-6,0,1793,719762
z,ao,creaky,-6,male,G3,p<f,-5,0,1935,719762
z,ao,creaky,2,male,G4,p>f,3,0,2193,719762
zh,ao,modal,0,male,G2,p>f,1,0,3420,719762
zh,ao,modal,3,male,G2,p>f,4,1,1731,719762
zh,ao,creaky,0,male,G4,p>f,1,0,2159,719762
zh,ao,creaky,1,male,G4,p>f,2,0,1761,719762
b,ao,modal,15,female,G2,p>f,6,1,2046,719762
b,ao,modal,3,female,G1,p<f,-6,0,2593,719762
b,ao,creaky,12,female,G4,p>f,3,0,4439,719762
b,ao,creaky,5,female,G3,p<f,-4,0,1743,719762
d,ao,modal,13,female,G2,p>f,4,1,3518,719762
d,ao,modal,6,female,G1,p<f,-3,0,1428,719762
d,ao,creaky,15,female,G4,p>f,6,1,3442,719762
d,ao,creaky,7,female,G3,p<f,-2,0,2295,719762
f,a,modal,10,female,G2,p>f,1,0,1794,719762
f,a,modal,14,female,G2,p>f,5,1,1946,719762
f,a,creaky,10,female,G4,p>f,1,0,1750,719762
f,a,creaky,6,female,G3,p<f,-3,0,1417,719762
sh,a,modal,12,female,G2,p>f,3,1,5854,719762
sh,a,modal,5,female,G1,p<f,-4,0,1503,719762
sh,a,creaky,4,female,G3,p<f,-5,0,1621,719762
sh,a,creaky,8,female,G3,p<f,-1,0,1653,719762
z,ao,modal,11,female,G2,p>f,2,0,1651,719762
z,ao,modal,7,female,G1,p<f,-2,0,1760,719762
z,ao,modal,8,female,G1,p<f,-1,0,1780,719762
z,ao,creaky,3,female,G3,p<f,-6,0,1985,719762
zh,ao,modal,4,female,G1,p<f,-5,0,1747,719762
zh,ao,creaky,11,female,G4,p>f,2,0,1359,719762
zh,ao,creaky,13,female,G4,p>f,4,1,3398,719762
zh,ao,creaky,14,female,G4,p>f,5,1,2254,719762
b,ao,modal,-4,male,G1,p<f,-3,0,1544,719762
b,ao,modal,-6,male,G1,p<f,-5,0,1769,719762
b,ao,modal,-7,male,G1,p<f,-6,0,1381,719762
b,ao,creaky,0,male,G4,p>f,1,0,1528,719762
d,ao,modal,3,male,G2,p>f,4,1,2453,719762
d,ao,modal,4,male,G2,p>f,5,1,1244,719762
d,ao,creaky,-3,male,G3,p<f,-2,0,1689,719762
d,ao,creaky,4,male,G4,p>f,5,1,2195,719762
f,a,modal,-5,male,G1,p<f,-4,0,2343,719762
f,a,modal,0,male,G2,p>f,1,0,1576,719762
f,a,modal,2,male,G2,p>f,3,0,2577,719762
f,a,creaky,-5,male,G3,p<f,-4,0,1534,719762
sh,a,creaky,-6,male,G3,p<f,-5,0,1593,719762
sh,a,creaky,-7,male,G3,p<f,-6,0,2641,719762
sh,a,creaky,2,male,G4,p>f,3,1,2054,719762
sh,a,creaky,5,male,G4,p>f,6,1,2303,719762
z,ao,modal,-2,male,G1,p<f,-1,0,1438,719762
z,ao,creaky,-4,male,G3,p<f,-3,0,1589,719762
z,ao,creaky,1,male,G4,p>f,2,0,1353,719762
z,ao,creaky,3,male,G4,p>f,4,0,1711,719762
zh,ao,modal,-3,male,G1,p<f,-2,0,1319,719762
zh,ao,modal,1,male,G2,p>f,2,0,3240,719762
zh,ao,modal,5,male,G2,p>f,6,1,1526,719762
zh,ao,creaky,-2,male,G3,p<f,-1,0,1451,719762
b,ao,modal,10,female,G2,p>f,1,0,1183,719762
b,ao,modal,14,female,G2,p>f,5,1,1542,719762
b,ao,modal,5,female,G1,p<f,-4,0,3435,719762
b,ao,creaky,15,female,G4,p>f,6,1,12306,719762
d,ao,modal,3,female,G1,p<f,-6,0,1565,719762
d,ao,modal,7,female,G1,p<f,-2,0,3375,719762
d,ao,creaky,3,female,G3,p<f,-6,0,1430,719762
d,ao,creaky,8,female,G3,p<f,-1,0,1606,719762
f,a,modal,11,female,G2,p>f,2,0,2006,719762
f,a,creaky,14,female,G4,p>f,5,1,1739,719762
f,a,creaky,4,female,G3,p<f,-5,0,1602,719762
f,a,creaky,7,female,G3,p<f,-2,0,4759,719762
sh,a,modal,6,female,G1,p<f,-3,0,1753,719762
sh,a,modal,8,female,G1,p<f,-1,0,1481,719762
sh,a,creaky,10,female,G4,p>f,1,0,1540,719762
sh,a,creaky,11,female,G4,p>f,2,1,1761,719762
z,ao,modal,12,female,G2,p>f,3,0,2779,719762
z,ao,modal,15,female,G2,p>f,6,1,1310,719762
z,ao,modal,4,female,G1,p<f,-5,0,1660,719762
z,ao,creaky,13,female,G4,p>f,4,0,1248,719762
zh,ao,modal,13,female,G2,p>f,4,1,4144,719762
zh,ao,creaky,12,female,G4,p>f,3,0,2853,719762
zh,ao,creaky,5,female,G3,p<f,-4,0,1638,719762
zh,ao,creaky,6,female,G3,p<f,-3,0,1223,719762
b,ao,modal,0,male,G2,p>f,1,0,1588,719762
b,ao,creaky,-5,male,G3,p<f,-4,0,1686,719762
b,ao,creaky,-6,male,G3,p<f,-5,0,1487,719762
b,ao,creaky,4,male,G4,p>f,5,1,1593,719762
d,ao,modal,-2,male,G1,p<f,-1,0,1186,719762
d,ao,creaky,-2,male,G3,p<f,-1,0,1469,719762
d,ao,creaky,-4,male,G3,p<f,-3,0,1368,719762
d,ao,creaky,5,male,G4,p>f,6,1,2018,719762
f,a,modal,-6,male,G1,p<f,-5,0,1921,719762
f,a,creaky,-7,male,G3,p<f,-6,0,1484,719762
f,a,creaky,0,male,G4,p>f,1,0,2382,719762
f,a,creaky,1,male,G4,p>f,2,1,3087,719762
sh,a,modal,1,male,G2,p>f,2,1,8718,719762
sh,a,modal,2,male,G2,p>f,3,1,2478,719762
sh,a,modal,5,male,G2,p>f,6,1,1611,719762
sh,a,creaky,3,male,G4,p>f,4,1,1936,719762
z,ao,modal,-3,male,G1,p<f,-2,0,1540,719762
z,ao,modal,-4,male,G1,p<f,-3,0,2196,719762
z,ao,modal,3,male,G2,p>f,4,1,2024,719762
z,ao,modal,4,male,G2,p>f,5,1,2247,719762
zh,ao,modal,-5,male,G1,p<f,-4,0,1735,719762
zh,ao,modal,-7,male,G1,p<f,-6,0,3263,719762
zh,ao,creaky,-3,male,G3,p<f,-2,0,1602,719762
zh,ao,creaky,2,male,G4,p>f,3,1,1911,719762
b,ao,modal,4,female,G1,p<f,-5,0,3475,719762
b,ao,modal,6,female,G1,p<f,-3,0,1401,719762
b,ao,creaky,11,female,G4,p>f,2,0,2157,719762
b,ao,creaky,3,female,G3,p<f,-6,0,1548,719762
d,ao,modal,10,female,G2,p>f,1,0,1412,719762
d,ao,modal,12,female,G2,p>f,3,0,2422,719762
d,ao,creaky,13,female,G4,p>f,4,1,2390,719762
d,ao,creaky,4,female,G3,p<f,-5,0,1744,719762
f,a,modal,3,female,G1,p<f,-6,0,1456,719762
f,a,modal,5,female,G1,p<f,-4,0,1447,719762
f,a,modal,8,female,G1,p<f,-1,0,1679,719762
f,a,creaky,8,female,G3,p<f,-1,0,1807,719762
sh,a,modal,13,female,G2,p>f,4,1,1926,719762
sh,a,modal,7,female,G1,p<f,-2,0,1439,719762
sh,a,creaky,14,female,G4,p>f,5,1,1520,719762
sh,a,creaky,15,female,G4,p>f,6,1,1117,719762
z,ao,creaky,10,female,G4,p>f,1,0,1409,719762
z,ao,creaky,12,female,G4,p>f,3,0,4253,719762
z,ao,creaky,5,female,G3,p<f,-4,0,2031,719762
z,ao,creaky,6,female,G3,p<f,-3,0,1595,719762
zh,ao,modal,11,female,G2,p>f,2,0,1575,719762
zh,ao,modal,14,female,G2,p>f,5,1,1913,719762
zh,ao,modal,15,female,G2,p>f,6,1,1724,719762
zh,ao,creaky,7,female,G3,p<f,-2,0,1428,719762
b,ao,modal,2,male,G2,p>f,3,1,2002,719762
b,ao,modal,3,male,G2,p>f,4,1,1895,719762
b,ao,creaky,-7,male,G3,p<f,-6,0,1360,719762
b,ao,creaky,2,male,G4,p>f,3,0,1271,719762
d,ao,modal,-5,male,G1,p<f,-4,0,1149,719762
d,ao,creaky,-5,male,G3,p<f,-4,0,1448,719762
d,ao,creaky,1,male,G4,p>f,2,1,3136,719762
d,ao,creaky,3,male,G4,p>f,4,1,2068,719762
f,a,modal,-3,male,G1,p<f,-2,0,1835,719762
f,a,modal,-7,male,G1,p<f,-6,0,1449,719762
f,a,modal,1,male,G2,p>f,2,1,3645,719762
f,a,creaky,-4,male,G3,p<f,-3,0,1691,719762
sh,a,modal,-4,male,G1,p<f,-3,0,1684,719762
sh,a,modal,0,male,G2,p>f,1,0,1514,719762
sh,a,creaky,-2,male,G3,p<f,-1,0,1405,719762
sh,a,creaky,-3,male,G3,p<f,-2,0,1933,719762
z,ao,modal,-6,male,G1,p<f,-5,0,1349,719762
z,ao,modal,5,male,G2,p>f,6,1,1661,719762
z,ao,creaky,0,male,G4,p>f,1,0,1778,719762
z,ao,creaky,4,male,G4,p>f,5,1,1703,719762
zh,ao,modal,-2,male,G1,p<f,-1,0,1431,719762
zh,ao,modal,4,male,G2,p>f,5,1,1609,719762
zh,ao,creaky,-6,male,G3,p<f,-5,0,1278,719762
zh,ao,creaky,5,male,G4,p>f,6,1,1943,719762
b,ao,modal,7,female,G1,p<f,-2,0,1379,720547
b,ao,creaky,14,female,G4,p>f,5,0,1575,720547
b,ao,creaky,4,female,G3,p<f,-5,0,2504,720547
b,ao,creaky,8,female,G3,p<f,-1,0,1392,720547
d,ao,modal,11,female,G2,p>f,2,0,3990,720547
d,ao,modal,15,female,G2,p>f,6,1,1838,720547
d,ao,modal,5,female,G1,p<f,-4,1,3804,720547
d,ao,creaky,12,female,G4,p>f,3,0,1340,720547
f,a,modal,13,female,G2,p>f,4,1,1337,720547
f,a,modal,4,female,G1,p<f,-5,0,2602,720547
f,a,creaky,13,female,G4,p>f,4,1,1596,720547
f,a,creaky,15,female,G4,p>f,6,1,1511,720547
sh,a,modal,14,female,G2,p>f,5,1,1824,720547
sh,a,modal,3,female,G1,p<f,-6,1,3255,720547
sh,a,creaky,5,female,G3,p<f,-4,0,1721,720547
sh,a,creaky,6,female,G3,p<f,-3,0,5096,720547
z,ao,modal,10,female,G2,p>f,1,0,2271,720547
z,ao,modal,6,female,G1,p<f,-3,1,4080,720547
z,ao,creaky,11,female,G4,p>f,2,0,3043,720547
z,ao,creaky,7,female,G3,p<f,-2,0,2278,720547
zh,ao,modal,12,female,G2,p>f,3,0,3838,720547
zh,ao,modal,8,female,G1,p<f,-1,0,1746,720547
zh,ao,creaky,10,female,G4,p>f,1,0,1213,720547
zh,ao,creaky,3,female,G3,p<f,-6,0,2689,720547
b,ao,modal,-2,male,G1,p<f,-1,0,2292,720547
b,ao,modal,-5,male,G1,p<f,-4,0,1563,720547
b,ao,modal,1,male,G2,p>f,2,0,1621,720547
b,ao,modal,5,male,G2,p>f,6,1,1470,720547
d,ao,modal,-4,male,G1,p<f,-3,0,1456,720547
d,ao,modal,0,male,G2,p>f,1,0,1122,720547
d,ao,creaky,-6,male,G3,p<f,-5,0,1389,720547
d,ao,creaky,0,male,G4,p>f,1,0,1955,720547
f,a,modal,3,male,G2,p>f,4,1,1395,720547
f,a,modal,4,male,G2,p>f,5,1,1499,720547
f,a,creaky,-2,male,G3,p<f,-1,1,2188,720547
f,a,creaky,2,male,G4,p>f,3,1,1512,720547
sh,a,modal,-3,male,G1,p<f,-2,1,3154,720547
sh,a,modal,-7,male,G1,p<f,-6,0,2112,720547
sh,a,creaky,1,male,G4,p>f,2,0,3292,720547
sh,a,creaky,4,male,G4,p>f,5,1,1704,720547
z,ao,modal,2,male,G2,p>f,3,1,1605,720547
z,ao,creaky,-3,male,G3,p<f,-2,0,3247,720547
z,ao,creaky,-5,male,G3,p<f,-4,0,2445,720547
z,ao,creaky,5,male,G4,p>f,6,0,9871,720547
zh,ao,modal,-6,male,G1,p<f,-5,0,3425,720547
zh,ao,creaky,-4,male,G3,p<f,-3,0,12356,720547
zh,ao,creaky,-7,male,G3,p<f,-6,1,3762,720547
zh,ao,creaky,3,male,G4,p>f,4,1,1558,720547
b,ao,modal,12,female,G2,p>f,3,1,2361,720547
b,ao,creaky,10,female,G4,p>f,1,0,1641,720547
b,ao,creaky,13,female,G4,p>f,4,0,1706,720547
b,ao,creaky,6,female,G3,p<f,-3,0,1306,720547
d,ao,modal,14,female,G2,p>f,5,1,1944,720547
