onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
z,ao,creaky,-7,male,G3,p<f,-6,0,1634,718382
zh,ao,modal,-4,male,G1,p<f,-3,0,1614,718382
zh,ao,modal,2,male,G2,p>f,3,1,2370,718382
zh,ao,creaky,-5,male,G3,p<f,-4,0,1388,718382
zh,ao,creaky,4,male,G4,p>f,5,1,1981,718382
b,ao,modal,11,female,G2,p>f,2,0,1506,718382
b,ao,modal,13,female,G2,p>f,4,1,3901,718382
b,ao,modal,8,female,G1,p<f,-1,0,1865,718382
b,ao,creaky,7,female,G3,p<f,-2,0,1319,718382
d,ao,modal,4,female,G1,p<f,-5,0,1444,718382
d,ao,creaky,10,female,G4,p>f,1,0,1421,718382
d,ao,creaky,5,female,G3,p<f,-4,0,1523,718382
d,ao,creaky,6,female,G3,p<f,-3,0,1006,718382
f,a,modal,12,female,G2,p>f,3,0,1578,718382
f,a,modal,6,female,G1,p<f,-3,0,1493,718382
f,a,creaky,11,female,G4,p>f,2,0,1521,718382
f,a,creaky,3,female,G3,p<f,-6,0,1387,718382
sh,a,modal,10,female,G2,p>f,1,0,1414,718382
sh,a,modal,15,female,G2,p>f,6,1,1331,718382
sh,a,creaky,12,female,G4,p>f,3,0,1658,718382
sh,a,creaky,13,female,G4,p>f,4,1,2823,718382
z,ao,modal,14,female,G2,p>f,5,1,1747,718382
z,ao,modal,3,female,G1,p<f,-6,0,1540,718382
z,ao,creaky,14,female,G4,p>f,5,1,1775,718382
z,ao,creaky,4,female,G3,p<f,-5,0,1516,718382
zh,ao,modal,5,female,G1,p<f,-4,0,1629,718382
zh,ao,modal,7,female,G1,p<f,-2,0,1435,718382
zh,ao,creaky,15,female,G4,p>f,6,1,1479,718382
zh,ao,creaky,8,female,G3,p<f,-1,0,1213,718382
b,ao,modal,-3,male,G1,p<f,-2,0,1272,718382
b,ao,creaky,-2,male,G3,p<f,-1,0,1193,718382
b,ao,creaky,-4,male,G3,p<f,-3,0,1753,718382
b,ao,creaky,3,male,G4,p>f,4,0,2174,718382
d,ao,modal,1,male,G2,p>f,2,0,1437,718382
d,ao,modal,2,male,G2,p>f,3,0,1719,718382
d,ao,modal,5,male,G2,p>f,6,1,1556,718382
d,ao,creaky,-7,male,G3,p<f,-6,0,1481,718382
f,a,modal,-4,male,G1,p<f,-3,0,1697,718382
f,a,creaky,-3,male,G3,p<f,-2,0,2022,718382
f,a,creaky,4,male,G4,p>f,5,0,4837,718382
